,logFC,logCPM,F,PValue,FDR
AC007278.3,-0.354279098377799,-2.23644079784436,2.92416062207288,0.0881054294326517,0.107284497788244
USP49,-0.0695140162030032,2.5631993789871,2.92403174152738,0.0881124059372125,0.107286134110215
TRAPPC12-AS1,0.170290871553676,-1.0031411669386,2.92389052118162,0.0881200511044565,0.107288584338186
UAP1L1,-0.117389700435767,3.82457361669067,2.92167417787081,0.0882401306400747,0.107427917436977
CACNA1C-IT2,-0.267130840430306,-2.01159852934524,2.9215529714618,0.0882467026292324,0.107429051832992
WFIKKN2,0.223532450268197,-1.69110486869949,2.91841511087872,0.0884170275329132,0.107629521532524
MED8,-0.0674025350743211,3.4294360591148,2.91633312515725,0.088530236332866,0.107760442959618
RPL14,-0.06517853837782,7.74144377251266,2.91579820729177,0.0885593481676232,0.107788990002474
TSC22D1,-0.12333082372335,7.30715578531501,2.91432377950123,0.0886396448980774,0.10787982852228
MKL1,-0.073202430367437,4.75605524856558,2.91393203226078,0.0886609926118397,0.107898915486404
RP5-1065J22.8,-0.156462180072153,-0.764067984709839,2.91344359366063,0.0886876172228774,0.107924421495282
NDUFB7,-0.113020653044335,6.56115365727642,2.91158576340096,0.0887889664012124,0.108040851149549
RUNDC3A,-0.176815483172394,-1.01280293344343,2.91127344021987,0.0888060167673767,0.108054695372954
FAM133B,0.0588558769807682,2.3515580353137,2.9098260937592,0.0888850769319064,0.108143983412458
HOXB6,-0.262271799461192,-2.08139909132519,2.90770162576093,0.0890012631235086,0.108278427357784
DNAJC9-AS1,-0.125980525400374,-0.906096824282973,2.90658011739843,0.0890626645722461,0.108346207581757
SLC25A13,-0.0790062075522745,3.08407149162791,2.90533519737724,0.08913087669497,0.10842226391679
POLR3G,0.113222979920385,0.65471513785474,2.90466158457347,0.0891678092506758,0.108460263286137
RP11-388M20.6,0.1684556010502,-1.61287068967574,2.90085884463428,0.0893766170275122,0.108701154659236
SMCO1,0.267932364662463,4.95952309538593,2.90084704311669,0.0893772658748513,0.108701154659236
CD82,0.117802491923502,4.23895459564469,2.89950426940703,0.0894511250645477,0.108784036464337
